price
86.33
92
75.49
81.26
79.72
93
100
90
100
100
100
100
100
94.91
82.91
83.01
81.12
83.99
100
100
100
100
100
100
100
88.7
87.48
82.63
96.05
82.66
84.21
82.86
90.73
83.55
83.21
82.99
93
92.3
82.99
81.83
88.88
83.23
82.82
89.48
83.1
94.82
84.74
86.59
80.58
85
82.76
88.04
83.64
85.49
69.58
69.77
86.31
86.72
86.78
89
96.15
92
85
97.83
97.78
97.83
93.6
97.1
82
89.54
95
85.74
85.12
94.55
77.7
91.58
91.02
100
92.36
90.85
100
97.49
86.88
97.45
100
92.62
89.15
77.31
90.58
89.44
82.26
94.74
73.47
75
70.1
85.82
94.18
91
95
97
89
97
91
90
89
82
98
86.76
90.1
91
80
97
92
89
79
85
92
86.5
86.14
82.2
89
82.8
95
85
85
85
85
85
75
95
95
95
85
95
75
85
95
75
75
85
95
95
95
85
75
100
93.63
85
95
85
75
75
95
95
85
95
75
75
100
85
95
95
91.22
90.5
92.92
93.5
95
94.25
87.77
100
86.5
83.88
85.86
83.7
97
78
90
75
79.44
82.54
78.13
86.33
84.98
95
96
91
96.15
92.05
92.15
76.36
77.67
99.29
94.05
93.4
97.61
99.52
89.25
97.42
91.19
81.14
88.25
88.36
87.54
82.51
91.91
91.41
85.96
96.84
88.95
83.46
83.14
81.38
80
95.33
95.65
95.12
95.23
77.48
95.53
91.2
92.32
81.76
77.89
75.5
98.64
98.74
81.04
98.06
86.38
82.97
90.09
87.6
90.71
91.77
89.83
88.1
87
100
100
100
82.56
83.66
94.19
94.09
94.79
73.98
100
61.28
100
100
85.2
100
63.6
100
100
92.7
94.15
74.3
100
96.65
100
81.25
100
96.8
80.25
100
95
97.3
89.9
72.5
79.3
91.65
83.85
91.35
93.48
94.02
94.49
87.65
91.15
84.99
92.2
92.8
84.1
84.05
83.1
86.45
85.6
86.85
88.55
85.95
88.1
92.3
91.55
91.8
91.8
90.35
83.5
91.25
85
82.85
86.55
86.55
98.6
88.9
93.88
92.7
89.04
92.8
92.89
91.3
93.64
99.2
96.25
87.9
89.4
85.95
76.02
89.6
89.35
98.15
89.95
69.85
81.4
70.2
85.85
67.75
89.65
73.8
98.7
84.8
74.8
79.9
91.65
77
96.5
93
68.8
86.6
88.1
82.5
85.1
76
96
80
100
81.95
94.42
90
85
91
92.1
78.1
93.22
85
95
95
95
95
85
85
95.24
95.14
96.7
79.95
100
80.7
82.43
80.25
81.45
79.65
79.5
83.8
80.3
77.1
77.1
71.9
72.85
100
95.53
88.25
82.63
100
97.04
97.32
94.11
95.21
92.85
86.87
82.2
84.38
99.17
100
100
83.76
90
77.15
84.95
85.27
86.8
87.15
94.61
81
89
83
83.85
84.83
83.55
94.43
94.72
89.36
94.81
87.2
89.67
94.85
91.6
91.98
94.3
96.42
93.2
90.49
81.2
72
89.99
95.31
75
87.11
69.13
75.06
83.01
73.15
75.73
82.39
84.25
83.45
80.93
79.28
77.75
80.48
76.93
80.03
85.75
84.45
73.16
88.76
75.75
86.37
90.3
90.79
81.82
86.91
77.49
74.49
77.55
100
75.96
90.31
91.02
85.9
91
85.98
87
85
88
91
86
85
94
97
98
98
92
96.15
97.11
66.89
76.27
71.7
75.05
72.04
70.53
71.77
82.37
76.32
89.27
76.87
68.04
82.72
84.19
89.9
86.99
79.86
90.4
97.9
93.04
85.46
96.1
97.75
90.82
91.25
97.85
84.38
87.15
78.3
90.4
88.78
90.05
91.31
86.39
90.3
83.4
81.13
80.56
90.73
86.84
82.18
